sample,gene,quality,technology
KAPAEnzyme-Roche-0720ME25_S66_L002,APOB,43.14937669059873,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MEN1,43.53642255356462,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,SDHAF2,44.79045276743934,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,RYR1,44.818467804218685,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,TPM1,45.19527694154857,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,SDHC,45.33935294263304,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,STK11,43.51872383587769,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MLH1,45.19548459027238,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,MSH2,43.98555860791557,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,APC,43.17007040886395,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,KCNH2,43.52484779583317,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,PCSK9,44.98502853827174,Roche
KAPAEnzyme-Roche-0720ME25_S66_L002,GLA,44.54805700768892,Roche
Nextera-Roche-110465_S39_L002,SMAD3,43.45177935151763,Roche
Nextera-Roche-110465_S39_L002,DSG2,43.46621717825332,Roche
Nextera-Roche-110465_S39_L002,SMAD4,44.92936038112789,Roche
Nextera-Roche-110465_S39_L002,KCNQ1,45.175808314078346,Roche
Nextera-Roche-110465_S39_L002,ACTC1,42.93567255260013,Roche
Nextera-Roche-110465_S39_L002,SCN5A,42.86664755986702,Roche
Nextera-Roche-110465_S39_L002,MYL2,46.09491019410383,Roche
Nextera-Roche-110465_S39_L002,DSC2,44.44515157595229,Roche
Nextera-Roche-110465_S39_L002,PKP2,43.00576709146836,Roche
Nextera-Roche-110465_S39_L002,PTEN,42.94163969456058,Roche
Nextera-Roche-110465_S39_L002,MUTYH,42.63324895055935,Roche
Nextera-Roche-110465_S39_L002,RYR2,44.18404730338342,Roche
